2024-06-08 23:58:30,218 [kappa.csail.mit.edu:1131186] [INFO] {'epoch': 0, 'trainer_step': 100, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-08 23:58:33,306 [kappa.csail.mit.edu:1131186] [INFO] {'epoch': 0, 'trainer_step': 200, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-08 23:58:36,465 [kappa.csail.mit.edu:1131186] [INFO] {'epoch': 0, 'trainer_step': 300, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-08 23:58:39,282 [kappa.csail.mit.edu:1131186] [INFO] {'epoch': 0, 'trainer_step': 400, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:20:24,704 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5702777138352394, 'iter_time': 0.4994077855348587, 'epoch': 0, 'trainer_step': 3300, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:20:30,905 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5738073065876961, 'iter_time': 0.5006146994233132, 'epoch': 0, 'trainer_step': 3400, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:20:37,106 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5741075819730759, 'iter_time': 0.5010518392920494, 'epoch': 0, 'trainer_step': 3500, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:20:43,280 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5700172963738441, 'iter_time': 0.5014502170681954, 'epoch': 0, 'trainer_step': 3600, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:20:49,468 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5705061134696007, 'iter_time': 0.5001793196797371, 'epoch': 0, 'trainer_step': 3700, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:20:55,672 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5680325165390968, 'iter_time': 0.5004032179713249, 'epoch': 0, 'trainer_step': 3800, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:21:01,879 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5695232433080674, 'iter_time': 0.500726954638958, 'epoch': 0, 'trainer_step': 3900, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:21:08,080 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5675452294945716, 'iter_time': 0.5001468256115913, 'epoch': 0, 'trainer_step': 4000, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:21:14,284 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.57130355656147, 'iter_time': 0.5016218850016594, 'epoch': 0, 'trainer_step': 4100, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:21:20,495 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5694247090816498, 'iter_time': 0.5024370554089547, 'epoch': 0, 'trainer_step': 4200, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
